movieId,title,genres
1,Toy Story (1995),10|1|2|3|4
2,Jumanji (1995),10|2|4
3,Grumpier Old Men (1995),3|5
4,Waiting to Exhale (1995),3|6|5
5,Father of the Bride Part II (1995),3
6,Heat (1995),7|8|9
7,Sabrina (1995),3|5
8,Tom and Huck (1995),10|2
9,Sudden Death (1995),7
10,GoldenEye (1995),7|10|9
11,"American President, The (1995)",3|6|5
12,Dracula: Dead and Loving It (1995),3|11
13,Balto (1995),10|1|2
14,Nixon (1995),6
15,Cutthroat Island (1995),7|10|5
16,Casino (1995),8|6
17,Sense and Sensibility (1995),6|5
18,Four Rooms (1995),3
19,Ace Ventura: When Nature Calls (1995),3
20,Money Train (1995),7|3|8|6|9
21,Get Shorty (1995),3|8|9
22,Copycat (1995),8|6|11|12|9
23,Assassins (1995),7|8|9
24,Powder (1995),6|13
25,Leaving Las Vegas (1995),6|5
26,Othello (1995),6
27,Now and Then (1995),2|6
28,Persuasion (1995),6|5
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",10|6|4|12|13
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),8|6
31,Dangerous Minds (1995),6
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),12|13|9
33,Wings of Courage (1995),10|5|15
34,Babe (1995),2|6
35,Carrington (1995),6|5
36,Dead Man Walking (1995),8|6
37,Across the Sea of Time (1995),14|15
38,It Takes Two (1995),2|3
39,Clueless (1995),3|5
40,"Cry, the Beloved Country (1995)",6
41,Richard III (1995),6|16
42,Dead Presidents (1995),7|8|6
43,Restoration (1995),6
44,Mortal Kombat (1995),7|10|4
45,To Die For (1995),3|6|9
46,How to Make an American Quilt (1995),6|5
47,Seven (a.k.a. Se7en) (1995),12|9
48,Pocahontas (1995),1|2|6|17|5
49,When Night Is Falling (1995),6|5
50,"Usual Suspects, The (1995)",8|12|9
51,Guardian Angel (1994),7|6|9
52,Mighty Aphrodite (1995),3|6|5
53,Lamerica (1994),10|6
54,"Big Green, The (1995)",2|3
55,Georgia (1995),6
56,Kids of the Round Table (1995),10|2|3|4
57,Home for the Holidays (1995),6
58,"Postman, The (Postino, Il) (1994)",3|6|5
59,"Confessional, The (Confessionnal, Le) (1995)",6|12
60,"Indian in the Cupboard, The (1995)",10|2|4
61,Eye for an Eye (1996),6|9
62,Mr. Holland's Opus (1995),6
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),3|8
64,Two if by Sea (1996),3|5
65,Bio-Dome (1996),3
66,Lawnmower Man 2: Beyond Cyberspace (1996),7|13|9
67,Two Bits (1995),6
68,French Twist (Gazon maudit) (1995),3|5
69,Friday (1995),3
70,From Dusk Till Dawn (1996),7|3|11|9
71,Fair Game (1995),7
72,Kicking and Screaming (1995),3|6
73,"Misérables, Les (1995)",6|16
74,Bed of Roses (1996),6|5
75,Big Bully (1996),3|6
76,Screamers (1995),7|13|9
77,Nico Icon (1995),14
78,"Crossing Guard, The (1995)",7|8|6|9
79,"Juror, The (1996)",6|9
80,"White Balloon, The (Badkonake sefid) (1995)",2|6
81,Things to Do in Denver When You're Dead (1995),8|6|5
82,Antonia's Line (Antonia) (1995),3|6
83,Once Upon a Time... When We Were Colored (1995),6|5
84,Last Summer in the Hamptons (1995),3|6
85,Angels and Insects (1995),6|5
86,White Squall (1996),7|10|6
87,Dunston Checks In (1996),2|3
88,Black Sheep (1996),3
89,Nick of Time (1995),7|9
90,The Journey of August King (1995),6
92,Mary Reilly (1996),6|11|9
93,Vampire in Brooklyn (1995),3|11|5
94,Beautiful Girls (1996),3|6|5
95,Broken Arrow (1996),7|10|9
96,In the Bleak Midwinter (1995),3|6
97,"Hate (Haine, La) (1995)",8|6
98,Shopping (1994),7|9
99,Heidi Fleiss: Hollywood Madam (1995),14
100,City Hall (1996),6|9
101,Bottle Rocket (1996),10|3|8|5
102,Mr. Wrong (1996),3
103,Unforgettable (1996),12|13|9
104,Happy Gilmore (1996),3
105,"Bridges of Madison County, The (1995)",6|5
106,Nobody Loves Me (Keiner liebt mich) (1994),3|6
107,Muppet Treasure Island (1996),10|2|3|17
108,Catwalk (1996),14
109,Headless Body in Topless Bar (1995),3|6|9
110,Braveheart (1995),7|6|16
111,Taxi Driver (1976),8|6|9
112,Rumble in the Bronx (Hont faan kui) (1995),7|10|3|8
113,Before and After (1996),6|12
114,Margaret's Museum (1995),6
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",3
116,Anne Frank Remembered (1995),14
117,"Young Poisoner's Handbook, The (1995)",8|6
118,If Lucy Fell (1996),3|5
119,"Steal Big, Steal Little (1995)",3
120,Race the Sun (1996),10|3|6
121,"Boys of St. Vincent, The (1992)",6
122,Boomerang (1992),3|5
123,Chungking Express (Chung Hing sam lam) (1994),6|12|5
124,"Star Maker, The (Uomo delle stelle, L') (1995)",6
125,Flirting With Disaster (1996),3
126,"NeverEnding Story III, The (1994)",10|2|4
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",6
128,Jupiter's Wife (1994),14
129,Pie in the Sky (1996),3|5
130,Angela (1995),6
131,Frankie Starlight (1995),6|5
132,Jade (1995),9
133,Nueba Yol (1995),3|6
134,Sonic Outlaws (1995),14
135,Down Periscope (1996),3
136,From the Journals of Jean Seberg (1995),14
137,Man of the Year (1995),14
138,"Neon Bible, The (1995)",6
139,Target (1995),7|6
140,Up Close and Personal (1996),6|5
141,"Birdcage, The (1996)",3
142,Shadows (Cienie) (1988),6
143,Gospa (1995),6
144,"Brothers McMullen, The (1995)",3
145,Bad Boys (1995),7|3|8|6|9
146,"Amazing Panda Adventure, The (1995)",10|2
147,"Basketball Diaries, The (1995)",6
148,"Awfully Big Adventure, An (1995)",6
149,Amateur (1994),8|6|9
150,Apollo 13 (1995),10|6|15
