TV_id,title,cast,country,release_year,listed_in,description,URL
2,Transformers Prime,"Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle",United States,2013,Kids' TV,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.",https://artworks.thetvdb.com/banners/movies/51186/posters/51186.jpg
3,Transformers: Robots in Disguise,"Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen",United States,2016,Kids' TV,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.",na
4,Apaches,"Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac",Spain,2016,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,na
5,Fire Chasers,,United States,2017,"Docuseries, Science & Nature TV","As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",https://artworks.thetvdb.com/banners/posters/333525-1.jpg
6,Castle of Stars,"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong",,2015,"International TV Shows, Romantic TV Shows, TV Comedies","As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life.",https://artworks.thetvdb.com/banners/posters/5bf47e405e1ec.jpg
7,First and Last,,,2018,Docuseries,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,https://artworks.thetvdb.com/banners/posters/5b947c8c73ba1.jpg
8,Archibald's Next Big Thing,"Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren",,2019,"Kids' TV, TV Comedies","Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!",https://artworks.thetvdb.com/banners/posters/5d72151f4dec4.jpg
9,The Spy,"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes",France,2019,"International TV Shows, TV Dramas, TV Thrillers","In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",https://artworks.thetvdb.com/banners/posters/5d68a245d7c6f.jpg
10,No Tomorrow,"Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue, Jesse Rath, Amy Pietz",United States,2016,"Romantic TV Shows, TV Comedies, TV Dramas","Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.",https://artworks.thetvdb.com/banners/posters/311957-1.jpg
11,Frequency,"Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar",United States,2016,"Crime TV Shows, TV Dramas, TV Mysteries","A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.",https://artworks.thetvdb.com/banners/posters/311958-3.jpg
12,Adam Ruins Everything,"Adam Conover, Adam Lustick, Emily Axford",United States,2018,TV Comedies,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",na
13,Ben 10,"Tara Strong, Montse Hernandez, David Kaye, Roger Craig Smith, Todd Haberkorn, Dwight Schultz, Daryl Sabara",United States,2016,Kids' TV,Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.,https://artworks.thetvdb.com/banners/posters/318145-1.jpg
14,Christiane Amanpour: Sex & Love Around the World,,United States,2018,Docuseries,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.",https://artworks.thetvdb.com/banners/posters/5c302bf57f337.jpg
15,The Eighties,,United States,2016,Docuseries,"This nostalgic documentary series relives the 1980s from a variety of angles, exploring its impact on the politics, technology and culture of today.",https://artworks.thetvdb.com/banners/posters/309108-2.jpg
16,The Nineties,,United States,2017,Docuseries,This U.S.-focused series dives into the cultural and political changes that swept the last decade of the 20th century. Executive produced by Tom Hanks.,https://artworks.thetvdb.com/banners/posters/330646-1.jpg
17,The Seventies,,United States,2015,Docuseries,"This series examines 1970s America, focusing on the major political and historical landmarks of the decade and the cultural response to those events.",https://artworks.thetvdb.com/banners/posters/296301-1.jpg
18,We Bare Bears,"Eric Edelstein, Demetri Martin, Bobby Moynihan",United States,2017,"Kids' TV, TV Comedies","Grizzly, Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized, modern human world.",na
19,The Royal House of Windsor,,United Kingdom,2017,"British TV Shows, Docuseries, International TV Shows","Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.",https://artworks.thetvdb.com/banners/posters/324520-1.jpg
